R_fighter;B_fighter;R_KD;B_KD;R_SIG_STR.;B_SIG_STR.;R_SIG_STR_pct;B_SIG_STR_pct;R_TOTAL_STR.;B_TOTAL_STR.;R_TD;B_TD;R_TD_pct;B_TD_pct;R_SUB_ATT;B_SUB_ATT;R_REV;B_REV;R_CTRL;B_CTRL;R_HEAD;B_HEAD;R_BODY;B_BODY;R_LEG;B_LEG;R_DISTANCE;B_DISTANCE;R_CLINCH;B_CLINCH;R_GROUND;B_GROUND;win_by;last_round;last_round_time;Format;Referee;date;location;Fight_type;Winner
Jimmy Flick;Alessandro Costa;0;1;14 of 37;65 of 91;37%;71%;14 of 37;65 of 92;0 of 4;0 of 0;0%;---;0;0;0;0;0:14;0:50;6 of 27;37 of 58;5 of 7;12 of 15;3 of 3;16 of 18;14 of 37;54 of 76;0 of 0;0 of 0;0 of 0;11 of 15;KO/TKO;2;1:03;3 Rnd (5-5-5);Keith Peterson;June 17, 2023;Las Vegas, Nevada, USA;Flyweight Bout;Alessandro Costa
Arman Tsarukyan;Joaquim Silva;0;0;80 of 115;23 of 41;69%;56%;134 of 175;77 of 96;4 of 5;0 of 0;80%;---;0;0;0;0;9:01;0:00;64 of 95;11 of 27;13 of 17;9 of 11;3 of 3;3 of 3;32 of 64;11 of 25;7 of 8;10 of 13;41 of 43;2 of 3;KO/TKO;3;3:25;3 Rnd (5-5-5);Keith Peterson;June 17, 2023;Las Vegas, Nevada, USA;Lightweight Bout;Arman Tsarukyan
Zac Pauga;Modestas Bukauskas;0;0;67 of 117;56 of 112;57%;50%;72 of 123;62 of 120;1 of 5;0 of 0;20%;---;0;0;0;0;2:17;1:20;35 of 80;42 of 96;25 of 30;10 of 12;7 of 7;4 of 4;58 of 105;50 of 102;7 of 10;5 of 9;2 of 2;1 of 1;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;June 17, 2023;Las Vegas, Nevada, USA;Light Heavyweight Bout;Modestas Bukauskas
Tereza Bleda;Gabriella Fernandes;0;0;57 of 99;23 of 47;57%;48%;181 of 235;47 of 72;3 of 10;0 of 0;30%;---;0;0;0;0;10:51;0:10;38 of 70;11 of 34;12 of 18;5 of 6;7 of 11;7 of 7;17 of 56;22 of 45;7 of 7;1 of 2;33 of 36;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Chris Tognoni;June 17, 2023;Las Vegas, Nevada, USA;Women's Flyweight Bout;Tereza Bleda
Marvin Vettori;Jared Cannonier;0;0;153 of 301;241 of 411;50%;58%;154 of 302;257 of 428;1 of 1;4 of 6;100%;66%;0;0;0;0;0:28;3:07;117 of 257;173 of 339;15 of 21;39 of 43;21 of 23;29 of 29;148 of 293;195 of 354;5 of 8;26 of 31;0 of 0;20 of 26;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);Herb Dean;June 17, 2023;Las Vegas, Nevada, USA;Middleweight Bout;Jared Cannonier
Dan Argueta;Ronnie Lawrence;0;0;4 of 4;1 of 2;100%;50%;12 of 12;2 of 3;1 of 1;0 of 0;100%;---;2;0;1;0;2:08;0:03;3 of 3;0 of 1;1 of 1;0 of 0;0 of 0;1 of 1;1 of 1;1 of 2;0 of 0;0 of 0;3 of 3;0 of 0;Overturned;1;2:20;3 Rnd (5-5-5);Keith Peterson;June 17, 2023;Las Vegas, Nevada, USA;Bantamweight Bout;
Zach Reese;Cody Brundage;0;0;4 of 5;9 of 12;80%;75%;10 of 12;12 of 16;0 of 0;1 of 1;---;100%;1;0;0;0;0:00;1:25;3 of 4;7 of 10;0 of 0;1 of 1;1 of 1;1 of 1;1 of 2;4 of 4;1 of 1;0 of 0;2 of 2;5 of 8;KO/TKO;1;1:49;3 Rnd (5-5-5);Jeff Rexroad;December 02, 2023;Austin, Texas, USA;Middleweight Bout;Cody Brundage
Beneil Dariush;Arman Tsarukyan;0;1;2 of 8;8 of 15;25%;53%;2 of 8;8 of 15;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:03;0 of 5;8 of 15;0 of 1;0 of 0;2 of 2;0 of 0;2 of 8;4 of 10;0 of 0;2 of 2;0 of 0;2 of 3;KO/TKO;1;1:04;5 Rnd (5-5-5-5-5);Mark Smith;December 02, 2023;Austin, Texas, USA;Lightweight Bout;Arman Tsarukyan
Clay Guida;Joaquim Silva;0;0;43 of 134;46 of 91;32%;50%;63 of 155;85 of 141;2 of 11;2 of 3;18%;66%;0;2;0;0;4:23;2:35;19 of 103;33 of 72;14 of 20;9 of 15;10 of 11;4 of 4;36 of 127;28 of 64;7 of 7;15 of 19;0 of 0;3 of 8;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;December 02, 2023;Austin, Texas, USA;Lightweight Bout;Joaquim Silva
Rob Font;Deiveson Figueiredo;0;0;46 of 94;45 of 74;48%;60%;48 of 96;53 of 84;0 of 2;4 of 7;0%;57%;0;0;0;0;0:22;4:02;39 of 85;35 of 64;5 of 6;7 of 7;2 of 3;3 of 3;44 of 92;33 of 60;2 of 2;6 of 7;0 of 0;6 of 7;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jeff Rexroad;December 02, 2023;Austin, Texas, USA;Bantamweight Bout;Deiveson Figueiredo
Punahele Soriano;Dustin Stoltzfus;0;1;31 of 73;64 of 123;42%;52%;33 of 76;78 of 140;0 of 0;4 of 7;---;57%;0;1;0;0;0:00;2:12;18 of 56;24 of 79;9 of 11;23 of 27;4 of 6;17 of 17;30 of 72;60 of 116;1 of 1;4 of 7;0 of 0;0 of 0;Submission;2;4:10;3 Rnd (5-5-5);Kerry Hatley;December 02, 2023;Austin, Texas, USA;Middleweight Bout;Dustin Stoltzfus
Jalin Turner;Bobby Green;1;0;33 of 60;15 of 26;55%;57%;33 of 60;15 of 26;0 of 0;0 of 0;---;---;0;0;0;0;0:12;0:02;26 of 48;5 of 14;2 of 4;3 of 4;5 of 8;7 of 8;18 of 41;14 of 24;0 of 0;1 of 2;15 of 19;0 of 0;KO/TKO;1;2:49;3 Rnd (5-5-5);Kerry Hatley;December 02, 2023;Austin, Texas, USA;Lightweight Bout;Jalin Turner
Sean Brady;Kelvin Gastelum;0;0;14 of 24;18 of 32;58%;56%;97 of 130;21 of 35;5 of 5;0 of 0;100%;---;3;0;0;1;9:06;0:19;8 of 16;7 of 19;1 of 2;7 of 8;5 of 6;4 of 5;7 of 15;13 of 23;1 of 1;4 of 5;6 of 8;1 of 4;Submission;3;1:43;3 Rnd (5-5-5);Jacob Montalvo;December 02, 2023;Austin, Texas, USA;Welterweight Bout;Sean Brady
Miesha Tate;Julia Avila;0;0;32 of 37;3 of 11;86%;27%;127 of 152;11 of 21;4 of 5;0 of 0;80%;---;1;0;0;0;10:55;0:00;31 of 35;3 of 11;1 of 1;0 of 0;0 of 1;0 of 0;5 of 8;3 of 11;0 of 0;0 of 0;27 of 29;0 of 0;Submission;3;1:15;3 Rnd (5-5-5);Jacob Montalvo;December 02, 2023;Austin, Texas, USA;Women's Bantamweight Bout;Miesha Tate
Drakkar Klose;Joe Solecki;0;0;2 of 2;1 of 1;100%;100%;8 of 9;9 of 13;0 of 0;1 of 2;---;50%;0;0;1;0;0:40;0:53;1 of 1;1 of 1;0 of 0;0 of 0;1 of 1;0 of 0;1 of 1;1 of 1;0 of 0;0 of 0;1 of 1;0 of 0;KO/TKO;1;1:41;3 Rnd (5-5-5);Mark Smith;December 02, 2023;Austin, Texas, USA;Lightweight Bout;Drakkar Klose
Rodolfo Bellato;Ihor Potieria;0;1;80 of 131;73 of 127;61%;57%;99 of 160;92 of 153;1 of 4;0 of 0;25%;---;0;0;0;0;2:49;1:41;70 of 116;58 of 111;9 of 12;9 of 10;1 of 3;6 of 6;18 of 46;38 of 73;11 of 14;12 of 21;51 of 71;23 of 33;KO/TKO;2;4:17;3 Rnd (5-5-5);Jacob Montalvo;December 02, 2023;Austin, Texas, USA;Light Heavyweight Bout;Rodolfo Bellato
Veronica Hardy;Jamey-Lyn Horth;0;0;43 of 101;43 of 87;42%;49%;61 of 122;74 of 125;1 of 2;1 of 3;50%;33%;0;0;0;0;1:34;3:59;29 of 86;16 of 49;11 of 11;20 of 26;3 of 4;7 of 12;30 of 81;23 of 59;13 of 20;20 of 28;0 of 0;0 of 0;Decision - Split;3;5:00;3 Rnd (5-5-5);Mark Smith;December 02, 2023;Austin, Texas, USA;Women's Flyweight Bout;Veronica Hardy
Wellington Turman;Jared Gooden;0;0;37 of 57;53 of 83;64%;63%;46 of 73;62 of 95;1 of 1;1 of 1;100%;100%;0;1;0;0;1:40;0:31;27 of 47;33 of 59;2 of 2;14 of 18;8 of 8;6 of 6;32 of 49;43 of 72;2 of 2;1 of 1;3 of 6;9 of 10;Submission;2;1:11;3 Rnd (5-5-5);Jeff Rexroad;December 02, 2023;Austin, Texas, USA;Welterweight Bout;Jared Gooden
Movsar Evloev;Diego Lopes;0;0;88 of 129;37 of 69;68%;53%;183 of 228;48 of 82;4 of 7;0 of 0;57%;---;0;4;0;1;8:30;0:41;76 of 116;29 of 57;3 of 3;4 of 8;9 of 10;4 of 4;45 of 81;27 of 55;11 of 11;3 of 3;32 of 37;7 of 11;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Keith Peterson;May 06, 2023;Newark, New Jersey, USA;Featherweight Bout;Movsar Evloev
Kennedy Nzechukwu;Devin Clark;0;0;62 of 81;36 of 58;76%;62%;79 of 98;61 of 90;0 of 1;1 of 4;0%;25%;1;0;0;0;3:42;1:04;44 of 63;25 of 46;18 of 18;7 of 8;0 of 0;4 of 4;9 of 17;13 of 28;53 of 64;23 of 30;0 of 0;0 of 0;Submission;2;2:28;3 Rnd (5-5-5);Gasper Oliver;May 06, 2023;Newark, New Jersey, USA;Light Heavyweight Bout;Kennedy Nzechukwu
Jessica Andrade;Yan Xiaonan;0;1;12 of 32;26 of 36;37%;72%;12 of 32;26 of 36;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:02;5 of 23;12 of 22;3 of 3;5 of 5;4 of 6;9 of 9;12 of 32;23 of 33;0 of 0;0 of 0;0 of 0;3 of 3;KO/TKO;1;2:20;3 Rnd (5-5-5);Vitor Ribeiro;May 06, 2023;Newark, New Jersey, USA;Women's Strawweight Bout;Yan Xiaonan
Kron Gracie;Charles Jourdain;0;0;32 of 57;80 of 168;56%;47%;171 of 216;175 of 266;0 of 0;0 of 0;---;---;0;0;0;0;0:43;6:48;18 of 37;59 of 145;1 of 6;14 of 16;13 of 14;7 of 7;32 of 57;54 of 138;0 of 0;16 of 20;0 of 0;10 of 10;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Gary Copeland;May 06, 2023;Newark, New Jersey, USA;Featherweight Bout;Charles Jourdain
Aljamain Sterling;Henry Cejudo;0;0;135 of 210;99 of 174;64%;56%;186 of 261;143 of 219;4 of 15;3 of 8;26%;37%;0;0;0;0;4:00;5:06;51 of 112;35 of 99;50 of 60;30 of 37;34 of 38;34 of 38;103 of 174;82 of 152;24 of 28;16 of 21;8 of 8;1 of 1;Decision - Split;5;5:00;5 Rnd (5-5-5-5-5);Herb Dean;May 06, 2023;Newark, New Jersey, USA;UFC Bantamweight Title Bout;Aljamain Sterling
Drew Dober;Matt Frevola;0;1;20 of 59;35 of 75;33%;46%;20 of 59;39 of 79;0 of 0;0 of 1;---;0%;0;0;0;0;0:00;0:08;12 of 50;26 of 61;8 of 9;6 of 11;0 of 0;3 of 3;19 of 58;22 of 58;1 of 1;1 of 2;0 of 0;12 of 15;KO/TKO;1;4:08;3 Rnd (5-5-5);Herb Dean;May 06, 2023;Newark, New Jersey, USA;Lightweight Bout;Matt Frevola
Belal Muhammad;Gilbert Burns;0;0;132 of 283;81 of 147;46%;55%;132 of 283;81 of 147;0 of 0;0 of 4;---;0%;0;0;0;0;0:00;0:00;92 of 241;35 of 96;39 of 41;13 of 16;1 of 1;33 of 35;132 of 283;81 of 147;0 of 0;0 of 0;0 of 0;0 of 0;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);Keith Peterson;May 06, 2023;Newark, New Jersey, USA;Welterweight Bout;Belal Muhammad
Khaos Williams;Rolando Bedoya;0;0;130 of 283;149 of 209;45%;71%;131 of 284;150 of 210;0 of 0;0 of 2;---;0%;0;0;0;0;1:13;0:07;68 of 205;103 of 150;29 of 38;15 of 17;33 of 40;31 of 42;126 of 276;136 of 196;4 of 7;13 of 13;0 of 0;0 of 0;Decision - Split;3;5:00;3 Rnd (5-5-5);Keith Peterson;May 06, 2023;Newark, New Jersey, USA;Welterweight Bout;Khaos Williams
Phil Hawes;Ikram Aliskerov;0;1;17 of 28;20 of 33;60%;60%;17 of 28;20 of 33;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:00;4 of 14;13 of 24;10 of 11;6 of 8;3 of 3;1 of 1;17 of 28;19 of 31;0 of 0;1 of 2;0 of 0;0 of 0;KO/TKO;1;2:10;3 Rnd (5-5-5);Gasper Oliver;May 06, 2023;Newark, New Jersey, USA;Middleweight Bout;Ikram Aliskerov
Marina Rodriguez;Virna Jandiroba;0;0;33 of 62;27 of 43;53%;62%;115 of 150;91 of 116;0 of 0;3 of 7;---;42%;0;0;0;1;0:05;12:02;27 of 52;25 of 41;5 of 8;1 of 1;1 of 2;1 of 1;10 of 37;7 of 22;3 of 3;5 of 5;20 of 22;15 of 16;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Vitor Ribeiro;May 06, 2023;Newark, New Jersey, USA;Women's Strawweight Bout;Virna Jandiroba
Braxton Smith;Parker Porter;0;0;14 of 29;25 of 37;48%;67%;14 of 29;37 of 62;0 of 1;0 of 1;0%;0%;0;0;0;0;0:00;0:27;13 of 28;24 of 36;0 of 0;1 of 1;1 of 1;0 of 0;14 of 29;12 of 24;0 of 0;3 of 3;0 of 0;10 of 10;KO/TKO;1;2:10;3 Rnd (5-5-5);Gary Copeland;May 06, 2023;Newark, New Jersey, USA;Heavyweight Bout;Parker Porter
Joseph Holmes;Claudio Ribeiro;0;1;17 of 24;37 of 63;70%;58%;22 of 29;60 of 91;1 of 2;1 of 1;50%;100%;0;0;0;0;2:30;3:07;4 of 10;34 of 57;3 of 4;0 of 1;10 of 10;3 of 5;13 of 20;10 of 24;4 of 4;1 of 2;0 of 0;26 of 37;KO/TKO;2;3:21;3 Rnd (5-5-5);Gary Copeland;May 06, 2023;Newark, New Jersey, USA;Middleweight Bout;Claudio Ribeiro
Aljamain Sterling;Sean O'Malley;0;1;17 of 35;25 of 35;48%;71%;24 of 46;26 of 36;0 of 2;0 of 0;0%;---;0;0;0;0;0:34;0:18;3 of 12;18 of 25;3 of 10;6 of 9;11 of 13;1 of 1;16 of 33;10 of 16;1 of 2;1 of 1;0 of 0;14 of 18;KO/TKO;2;0:51;5 Rnd (5-5-5-5-5);Marc Goddard;August 19, 2023;Boston, Massachusetts, USA;UFC Bantamweight Title Bout;Sean O'Malley
Marlon Vera;Pedro Munhoz;0;0;141 of 251;113 of 246;56%;45%;141 of 251;113 of 246;0 of 1;0 of 1;0%;0%;0;0;0;0;0:00;0:00;109 of 212;53 of 177;9 of 14;20 of 28;23 of 25;40 of 41;138 of 246;111 of 244;3 of 4;2 of 2;0 of 1;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;August 19, 2023;Boston, Massachusetts, USA;Bantamweight Bout;Marlon Vera
Neil Magny;Ian Machado Garry;0;0;27 of 66;91 of 150;40%;60%;51 of 93;111 of 171;0 of 2;2 of 2;0%;100%;0;0;0;0;1:10;2:32;10 of 41;32 of 90;7 of 11;16 of 17;10 of 14;43 of 43;25 of 61;84 of 140;2 of 5;4 of 5;0 of 0;3 of 5;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Keith Peterson;August 19, 2023;Boston, Massachusetts, USA;Welterweight Bout;Ian Machado Garry
Da'Mon Blackshear;Mario Bautista;0;0;90 of 174;79 of 137;51%;57%;108 of 192;102 of 161;4 of 7;2 of 10;57%;20%;0;1;0;0;3:00;4:04;48 of 123;48 of 103;22 of 30;21 of 22;20 of 21;10 of 12;52 of 129;51 of 101;37 of 42;24 of 30;1 of 3;4 of 6;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Bryan Miner;August 19, 2023;Boston, Massachusetts, USA;Bantamweight Bout;Mario Bautista
Gregory Rodrigues;Denis Tiuliulin;0;0;5 of 6;2 of 7;83%;28%;6 of 8;3 of 8;1 of 2;0 of 0;50%;---;0;0;0;0;0:47;0:00;4 of 5;2 of 7;1 of 1;0 of 0;0 of 0;0 of 0;1 of 2;2 of 7;0 of 0;0 of 0;4 of 4;0 of 0;KO/TKO;1;1:43;3 Rnd (5-5-5);Bryan Miner;August 19, 2023;Boston, Massachusetts, USA;Middleweight Bout;Gregory Rodrigues
Brad Katona;Cody Gibson;0;0;160 of 311;164 of 268;51%;61%;173 of 327;169 of 273;0 of 2;0 of 1;0%;0%;0;0;0;0;0:00;0:00;116 of 254;130 of 228;25 of 37;22 of 27;19 of 20;12 of 13;127 of 262;134 of 233;33 of 49;30 of 35;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd + OT (5-5-5-5);Marc Goddard;August 19, 2023;Boston, Massachusetts, USA;Bantamweight Bout;Brad Katona
Zhang Weili;Amanda Lemos;1;0;163 of 217;24 of 63;75%;38%;296 of 358;29 of 68;6 of 7;0 of 0;85%;---;0;2;0;0;16:07;0:34;106 of 150;19 of 57;37 of 42;3 of 4;20 of 25;2 of 2;50 of 77;23 of 61;17 of 18;1 of 2;96 of 122;0 of 0;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);Kevin MacDonald;August 19, 2023;Boston, Massachusetts, USA;UFC Women's Strawweight Title Bout;Zhang Weili
Kurt Holobaugh;Austin Hubbard;0;0;61 of 119;44 of 107;51%;41%;85 of 144;61 of 125;0 of 0;2 of 6;---;33%;2;0;0;0;1:08;2:23;46 of 101;25 of 86;10 of 12;17 of 19;5 of 6;2 of 2;50 of 106;31 of 87;9 of 10;9 of 12;2 of 3;4 of 8;Submission;2;2:39;3 Rnd + OT (5-5-5-5);John English;August 19, 2023;Boston, Massachusetts, USA;Lightweight Bout;Kurt Holobaugh
Chris Weidman;Brad Tavares;0;0;37 of 92;70 of 115;40%;60%;39 of 94;71 of 116;0 of 8;0 of 0;0%;---;0;0;0;0;1:21;0:00;30 of 77;21 of 61;5 of 12;8 of 9;2 of 3;41 of 45;35 of 90;68 of 113;2 of 2;2 of 2;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Keith Peterson;August 19, 2023;Boston, Massachusetts, USA;Middleweight Bout;Brad Tavares
Karine Silva;Maryna Moroz;1;0;30 of 53;16 of 55;56%;29%;52 of 76;25 of 66;1 of 1;0 of 0;100%;---;1;0;0;1;0:51;1:41;15 of 31;8 of 41;7 of 9;7 of 12;8 of 13;1 of 2;18 of 40;10 of 47;11 of 12;6 of 8;1 of 1;0 of 0;Submission;1;4:59;3 Rnd (5-5-5);John English;August 19, 2023;Boston, Massachusetts, USA;Women's Flyweight Bout;Karine Silva
Andre Petroski;Gerald Meerschaert;1;0;57 of 132;76 of 149;43%;51%;67 of 143;92 of 166;2 of 5;1 of 3;40%;33%;0;0;0;0;2:06;1:54;39 of 114;65 of 135;12 of 12;6 of 9;6 of 6;5 of 5;46 of 117;60 of 131;3 of 4;10 of 10;8 of 11;6 of 8;Decision - Split;3;5:00;3 Rnd (5-5-5);Herb Dean;August 19, 2023;Boston, Massachusetts, USA;Middleweight Bout;Andre Petroski
Andrea Lee;Natalia Silva;0;0;43 of 125;70 of 174;34%;40%;43 of 125;70 of 174;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:00;12 of 74;34 of 111;11 of 23;17 of 43;20 of 28;19 of 20;43 of 125;70 of 174;0 of 0;0 of 0;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Kevin MacDonald;August 19, 2023;Boston, Massachusetts, USA;Women's Flyweight Bout;Natalia Silva
Benoit Saint Denis;Thiago Moises;0;0;101 of 182;24 of 62;55%;38%;123 of 210;27 of 67;5 of 9;1 of 3;55%;33%;0;1;0;0;5:20;0:14;49 of 123;12 of 46;28 of 34;10 of 14;24 of 25;2 of 2;42 of 71;23 of 59;10 of 14;1 of 3;49 of 97;0 of 0;KO/TKO;2;4:44;3 Rnd (5-5-5);Lukasz Bosacki;September 02, 2023;Paris, Ile-de-France, France;Lightweight Bout;Benoit Saint Denis
William Gomis;Yanis Ghemmouri;0;0;52 of 88;28 of 73;59%;38%;61 of 99;40 of 88;0 of 0;0 of 4;---;0%;2;0;0;0;0:55;2:42;10 of 30;0 of 24;6 of 15;7 of 11;36 of 43;21 of 38;47 of 82;24 of 69;5 of 6;4 of 4;0 of 0;0 of 0;KO/TKO;3;2:20;3 Rnd (5-5-5);Loic Pora;September 02, 2023;Paris, Ile-de-France, France;Featherweight Bout;William Gomis
Ciryl Gane;Serghei Spivac;0;0;109 of 156;11 of 44;69%;25%;110 of 157;11 of 44;0 of 0;0 of 1;---;0%;0;0;0;0;0:09;0:02;48 of 85;7 of 38;39 of 49;2 of 3;22 of 22;2 of 3;105 of 152;11 of 44;4 of 4;0 of 0;0 of 0;0 of 0;KO/TKO;2;3:44;5 Rnd (5-5-5-5-5);Marc Goddard;September 02, 2023;Paris, Ile-de-France, France;Heavyweight Bout;Ciryl Gane
Morgan Charriere;Manolo Zecchini;1;0;26 of 49;9 of 41;53%;21%;26 of 49;9 of 41;0 of 0;0 of 0;---;---;0;0;0;0;0:03;0:00;16 of 37;5 of 30;7 of 8;1 of 4;3 of 4;3 of 7;25 of 47;9 of 41;1 of 1;0 of 0;0 of 1;0 of 0;KO/TKO;1;3:51;3 Rnd (5-5-5);Rich Mitchell;September 02, 2023;Paris, Ile-de-France, France;Featherweight Bout;Morgan Charriere
Manon Fiorot;Rose Namajunas;0;0;58 of 225;60 of 150;25%;40%;62 of 232;60 of 152;0 of 1;0 of 6;0%;0%;0;0;0;0;0:24;0:25;39 of 197;32 of 107;15 of 22;15 of 26;4 of 6;13 of 17;53 of 214;59 of 148;4 of 10;1 of 2;1 of 1;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Rich Mitchell;September 02, 2023;Paris, Ile-de-France, France;Women's Flyweight Bout;Manon Fiorot
Volkan Oezdemir;Bogdan Guskov;1;0;26 of 46;8 of 25;56%;32%;36 of 64;10 of 27;1 of 1;0 of 0;100%;---;1;0;0;0;1:23;0:00;19 of 37;7 of 23;1 of 2;1 of 1;6 of 7;0 of 1;15 of 32;8 of 24;1 of 1;0 of 1;10 of 13;0 of 0;Submission;1;3:46;3 Rnd (5-5-5);Marc Goddard;September 02, 2023;Paris, Ile-de-France, France;Light Heavyweight Bout;Volkan Oezdemir
Ange Loosa;Rhys McKee;0;0;98 of 182;77 of 183;53%;42%;124 of 220;90 of 198;6 of 10;0 of 0;60%;---;0;0;0;0;6:07;0:05;71 of 144;48 of 145;19 of 29;19 of 25;8 of 9;10 of 13;45 of 103;70 of 172;32 of 51;5 of 8;21 of 28;2 of 3;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Loic Pora;September 02, 2023;Paris, Ile-de-France, France;Welterweight Bout;Ange Loosa
Taylor Lapilus;Caolan Loughran;0;0;84 of 163;48 of 132;51%;36%;87 of 166;70 of 166;0 of 0;2 of 11;---;18%;0;0;0;0;0:18;6:26;59 of 133;28 of 100;18 of 23;13 of 23;7 of 7;7 of 9;76 of 150;44 of 125;7 of 12;3 of 6;1 of 1;1 of 1;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Lukasz Bosacki;September 02, 2023;Paris, Ile-de-France, France;Bantamweight Bout;Taylor Lapilus
Farid Basharat;Kleydson Rodrigues;0;0;4 of 6;7 of 8;66%;87%;25 of 36;25 of 26;2 of 5;0 of 0;40%;---;1;0;0;0;3:15;0:30;2 of 3;3 of 4;2 of 2;2 of 2;0 of 1;2 of 2;0 of 1;4 of 5;1 of 1;1 of 1;3 of 4;2 of 2;Submission;1;4:15;3 Rnd (5-5-5);Loic Pora;September 02, 2023;Paris, Ile-de-France, France;Bantamweight Bout;Farid Basharat
Nora Cornolle;Joselyne Edwards;0;0;40 of 77;18 of 42;51%;42%;85 of 134;75 of 120;0 of 0;5 of 8;---;62%;0;1;3;0;2:11;8:42;12 of 37;6 of 20;17 of 24;8 of 9;11 of 16;4 of 13;17 of 39;14 of 35;23 of 38;4 of 6;0 of 0;0 of 1;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Lukasz Bosacki;September 02, 2023;Paris, Ile-de-France, France;Women's Bantamweight Bout;Nora Cornolle
Zarah Fairn;Jacqueline Cavalcanti;0;0;39 of 259;126 of 221;15%;57%;39 of 259;127 of 222;0 of 2;0 of 1;0%;0%;0;0;0;0;0:04;0:08;25 of 241;43 of 127;8 of 12;20 of 22;6 of 6;63 of 72;39 of 258;116 of 209;0 of 1;10 of 12;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Rich Mitchell;September 02, 2023;Paris, Ile-de-France, France;Catch Weight Bout;Jacqueline Cavalcanti
Magomed Ankalaev;Johnny Walker;0;0;13 of 19;14 of 27;68%;51%;16 of 23;17 of 30;1 of 1;0 of 0;100%;---;0;0;0;0;1:06;0:00;7 of 13;4 of 15;3 of 3;1 of 2;3 of 3;9 of 10;7 of 11;14 of 27;1 of 1;0 of 0;5 of 7;0 of 0;Could Not Continue;1;3:13;3 Rnd (5-5-5);Daniel Movahedi;October 21, 2023;Abu Dhabi, Abu Dhabi, United Arab Emirates;Light Heavyweight Bout;
Said Nurmagomedov;Muin Gafurov;0;0;5 of 11;1 of 3;45%;33%;5 of 11;1 of 3;0 of 0;0 of 1;---;0%;1;0;0;0;0:03;0:07;2 of 7;0 of 2;2 of 2;0 of 0;1 of 2;1 of 1;5 of 11;1 of 3;0 of 0;0 of 0;0 of 0;0 of 0;Submission;1;1:13;3 Rnd (5-5-5);Marc Goddard;October 21, 2023;Abu Dhabi, Abu Dhabi, United Arab Emirates;Bantamweight Bout;Said Nurmagomedov
Javid Basharat;Victor Henry;0;0;30 of 43;25 of 36;69%;69%;33 of 46;30 of 41;1 of 4;0 of 1;25%;0%;0;0;0;0;0:29;0:14;8 of 21;3 of 10;8 of 8;6 of 6;14 of 14;16 of 20;26 of 39;23 of 34;4 of 4;2 of 2;0 of 0;0 of 0;Could Not Continue;2;0:15;3 Rnd (5-5-5);Lukasz Bosacki;October 21, 2023;Abu Dhabi, Abu Dhabi, United Arab Emirates;Bantamweight Bout;
Ikram Aliskerov;Warlley Alves;1;0;26 of 36;12 of 16;72%;75%;26 of 36;12 of 16;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:00;20 of 29;3 of 6;6 of 6;1 of 1;0 of 1;8 of 9;26 of 36;12 of 16;0 of 0;0 of 0;0 of 0;0 of 0;KO/TKO;1;2:07;3 Rnd (5-5-5);Lukasz Bosacki;October 21, 2023;Abu Dhabi, Abu Dhabi, United Arab Emirates;Middleweight Bout;Ikram Aliskerov
Tim Elliott;Muhammad Mokaev;0;0;30 of 43;14 of 33;69%;42%;71 of 87;118 of 146;1 of 1;3 of 6;100%;50%;2;1;0;0;2:23;8:24;19 of 30;8 of 21;10 of 12;3 of 8;1 of 1;3 of 4;14 of 27;10 of 29;8 of 8;1 of 1;8 of 8;3 of 3;Submission;3;3:03;3 Rnd (5-5-5);Jason Herzog;October 21, 2023;Abu Dhabi, Abu Dhabi, United Arab Emirates;Flyweight Bout;Muhammad Mokaev
