fighter,Weight Division,Gender,Image URL
Alejandro Perez,145,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-10/67194%252Fprofile-galery%252Ffullbodyleft-picture%252FPEREZ_ALEJANDRO_L_10-02.png?itok=kqCsgx4r
Alejandro Perez,135,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-10/67194%252Fprofile-galery%252Ffullbodyleft-picture%252FPEREZ_ALEJANDRO_L_10-02.png?itok=kqCsgx4r
Aleksa Camur,205,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-06/71497%252Fprofile-galery%252Ffullbodyleft-picture%252FCAMUR_ALEKSA_L_06-19.png?itok=l2aw1oEn
Aleksandar Rakic,205,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-06/RAKIC_ALEKSANDAR_L_05-14.png?itok=7hzDVZpj
Aleksandra Albu,115,0,https://i.ibb.co/Y0B2Gc5/fighter-shadow.png
Aleksei Kunchenko,170,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2020-03/KUNCHENKO_ALEXSEI_L.png?VersionId=ikB8yFuVEBZghBszmwDKgXrz_USboarj&itok=ukwv5LYK
Aleksei Oleinik,265,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-08/3d2c60db-88dd-426b-9552-24ee37f5e804%252FOLEINIK_ALEKSEI_L_03-26.png?itok=_vwf9RgM
Alen Amedovski,185,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-08/67201%252Fprofile-galery%252Ffullbodyleft-picture%252FAMEDOVSKI_ALEN_L_07-10.png?itok=youU6I2T
Alessandro Costa,125,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-01/COSTA_ALLESANDRO_L_12-17.png?itok=-GXu_IUx
Alessio Di Chirico,185,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-08/67203%252Fprofile-galery%252Ffullbodyleft-picture%252FDI_CHIRICO_ALESSIO_L_08-28.png?itok=G7NGkD_D
Alessio Sakara,185,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-08/Alessio-Sakara_812_LeftFullBodyImage.png?itok=d3yBh3o6
Alessio Sakara,205,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-08/Alessio-Sakara_812_LeftFullBodyImage.png?itok=d3yBh3o6
Alex Caceres,145,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-06/CACERES_ALEX_L_06-03.png?itok=_2CDqgpw
Alex Caceres,135,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-06/CACERES_ALEX_L_06-03.png?itok=_2CDqgpw
Alex Chambers,115,0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/67207/profile-galery/fullbodyleft-picture/Alex-Chambers_501694_LeftFullBodyImage.png?VersionId=h3uAjCkaNMqd75FA4ylVAW_JKdC070ql&itok=KY4l5g2T
Alex Da Silva,155,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-06/578274d3-c48f-446c-b8a0-e4982eeef504%252FDA_SILVA_ALEX_L_06-04.png?itok=Nw32-_Y-
Alex Garcia,170,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/67208/profile-galery/fullbodyleft-picture/Alex-Garcia_459193_LeftFullBodyImage.png?itok=Y1lYeVwu
Alex Gorgees,155,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/71444/profile-galery/fullbodyleft-picture/GORGEES_ALEX_L.png?VersionId=ijxOpKVLEIc17AV3ukDTMJZZo9iiVXcc&itok=dEU7iRWs
Alex Karalexis,170,1,https://i.ibb.co/Y0B2Gc5/fighter-shadow.png
Alex Morono,170,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-07/MORONO_ALEX_L_07-30.png?itok=4QjEruPU
Alex Nicholson,185,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-08/alex-nicholson_575996_LeftFullBodyImage.png?itok=r2Yzemq9
