fighter,Knockdown,Significant_Strike_Percent,Takedown_Percent,Submission_Attempt,Ground_Control,win_by,No_of_rounds,Weight Division,Significant_Strikes_Landed,Significant_Strikes_Attempted,Total_Strikes_Landed,Total_Strikes_Attempted,Takedowns_Landed,Takedowns_Attempted,Ground_Strikes_Landed,time_fought,Gender
Jorge de Oliveira,-0.4416008872909758,-1.731333920715886,-0.753475034082875,-0.4646354552386844,-0.7676908927732153,-0.14231638072945405,-0.31285623842751903,0.03863730709286026,-0.7918334044261623,-0.6715407384964401,-0.4148962397386614,-0.4940167217790653,-0.6315529925791449,-0.7621813411717269,-0.5537467466400072,-0.2556715981559581,0.33839851745954763
Jose Aldo,0.8951576140689284,0.4926700433825178,-0.753475034082875,-0.06717278401724647,0.27416317733836326,-0.14231638072945405,0.8568812651206358,-0.881958169650617,1.3315813223835375,0.9579376311500699,0.794057606666485,0.7523825787847548,-0.6315529925791449,-0.6730538829505863,-0.22028663700966478,1.2803132077488224,0.33839851745954763
Jose Johnson,-0.4416008872909758,1.0159650937586129,-0.04318843394377553,0.1315585515934725,-0.023509414122087735,-0.14231638072945405,-0.31285623842751903,-0.881958169650617,-0.040551535481207046,-0.3294928008446946,0.5401394006817049,0.07582679406090043,-0.3365862560370339,-0.49479896650830524,1.0579771165733145,-0.22240116914719021,0.33839851745954763
Jose Maria,-0.4416008872909758,0.4423532116155856,-0.0005712379354295832,1.3239465652577862,-0.398462389904002,1.047285136659809,-0.31285623842751903,-1.144985448720182,-0.1814168859083862,-0.3579967956490067,-0.3353099363702976,-0.45560030498086534,0.253347217047188,0.7084217194770922,-0.387016691824836,-0.1586328468803852,0.33839851745954763
Jose Quinonez,0.2267783633889763,-0.8960745133848113,0.2503966941137189,-0.4646354552386844,-0.22577412370418906,0.6507512975300547,-0.31285623842751903,-0.881958169650617,-0.07707218188825356,-0.06820618180516673,-0.3504692322499859,-0.2421757672130879,0.15502497153315098,-0.04916167540260249,0.2613779657897188,-0.422947921783374,0.33839851745954763
Jose Torres,-0.4416008872909758,-0.523729958309513,-0.28468587799106937,-0.4646354552386844,-0.6474769616064947,1.047285136659809,-0.31285623842751903,-1.144985448720182,-0.35358564754160504,-0.20122482422529,-0.6195467341144543,-0.4171838881826654,-0.3365862560370339,-0.3611077791765944,-0.2758633219480552,-0.7977023374238003,0.33839851745954763
Josefine Knutsson,-0.4416008872909758,1.0763452918789316,1.3773847663344232,-0.4646354552386844,2.9474920275697216,-0.14231638072945405,-0.31285623842751903,-1.408012727789747,1.3837536743936039,0.639643022501918,2.0977570523196833,1.3115548677363316,1.1382474266735207,0.3073481574819597,3.3366211990473214,0.7258060576026923,-2.9550956886787803
Joselyne Edwards,-0.4416008872909758,-0.030625006993577192,0.14622132609331762,-0.06717278401724647,0.5145910396718045,-1.7284517372484711,-0.31285623842751903,-0.881958169650617,0.6742096870567017,0.6681470173062299,0.885013381944615,0.9060482459775546,0.548313953589299,0.3073481574819597,-0.2943888835941853,0.7258060576026923,-2.9550956886787803
Joseph Benavidez,-0.4416008872909758,0.33165618172833483,-0.753475034082875,-0.4646354552386844,-0.7486093163975455,0.2542174584003003,2.0266187686687904,-1.144985448720182,-0.004030889074160641,-0.06345551600444803,-0.2670931049117,-0.2293702949470213,-0.6315529925791449,-0.5839264247294458,-0.516695623347747,-0.28894202716472583,0.33839851745954763
Joseph Gigliotti,-0.4416008872909758,-0.523729958309513,2.0876713664735225,0.1315585515934725,-0.4900539565072177,-0.14231638072945405,-0.31285623842751903,0.43317822569720765,-0.838788521235222,-0.8211867112190789,-0.9037835318586109,-0.9358055149583646,-0.041619519494922944,-0.49479896650830524,-0.4981700617016168,-0.17249552563403847,0.33839851745954763
Joseph Holmes,0.2267783633889763,1.0763452918789316,0.6670981661953238,-0.06717278401724647,-0.3669777888841466,0.2542174584003003,-0.31285623842751903,0.43317822569720765,-0.5987957019889169,-0.7713047203115325,-0.7976684607007924,-0.9251342880699758,-0.23826401052299692,-0.49479896650830524,-0.2943888835941853,-0.8000127838827424,0.33839851745954763
Joseph Morales,0.2267783633889763,-0.3727794630087162,0.1935737661025908,1.522677900868505,-0.552069079728145,-0.5388502198592083,-0.31285623842751903,-1.144985448720182,-0.682271465205023,-0.6097820830870972,-0.8355667004000132,-0.7629316393664648,-0.4349085015510709,-0.5839264247294458,0.15022459591293794,-0.18913074013842238,0.33839851745954763
Joseph Sandoval,-0.4416008872909758,-0.46334976018919427,-0.753475034082875,-0.4646354552386844,-0.7676908927732153,1.047285136659809,-0.31285623842751903,-0.881958169650617,-1.1048675164865602,-1.1347306540665123,-1.2107592734223,-1.281553266142164,-0.6315529925791449,-0.7621813411717269,-0.5537467466400072,-1.6322355983937262,0.33839851745954763
Josh Barnett,-0.4416008872909758,1.0159650937586129,-0.27995063399014203,-0.06717278401724647,0.9916304490635529,-0.14231638072945405,2.0266187686687904,2.537396458253727,1.2898434407754846,0.501873714281076,1.4989648650719936,0.7822620140722437,-0.4349085015510709,-0.49479896650830524,0.3725313356664996,0.8191480945439576,0.33839851745954763
Josh Bryant,-0.4416008872909758,-1.5200032272947708,-0.753475034082875,-0.4646354552386844,-0.7676908927732153,1.047285136659809,-0.31285623842751903,0.43317822569720765,-0.8700919324412618,-0.5432727618770355,-1.040217194775806,-0.7501261671003981,-0.6315529925791449,-0.22741659184488358,-0.5537467466400072,-0.40538852869541314,0.33839851745954763
